feature,coefficient,abs_importance
cable_age_years,-9.472075517977643,9.472075517977643
fault_history_count,-7.077606318535736,7.077606318535736
partial_discharge_pC,-5.607206639300133,5.607206639300133
insulation_resistance_MOhm,3.851878780780033,3.851878780780033
overload_events_last_year,-3.6592904883478643,3.6592904883478643
maintenance_score,2.372553281369988,2.372553281369988
tan_delta,-1.4732585876328412,1.4732585876328412
soil_corrosivity_index,-1.0284249493800346,1.0284249493800346
cable_length_km,0.3012931357178732,0.3012931357178732
region_Egypt,-0.22143560273242768,0.22143560273242768
application_Power Transmission (HV),-0.2171642128202051,0.2171642128202051
region_UAE,0.15155438610654054,0.15155438610654054
voltage_class_HV (35-150kV),0.1318122220623202,0.1318122220623202
voltage_class_MV (1-35kV),0.12024927074238481,0.12024927074238481
application_Renewable Energy,-0.10522644079309167,0.10522644079309167
load_factor,-0.09991115784204689,0.09991115784204689
voltage_class_LV (<1kV),0.09473318207870907,0.09473318207870907
ambient_temp_C,-0.07890445364539726,0.07890445364539726
months_since_maintenance,-0.07192529806919734,0.07192529806919734
humidity_percent,-0.06372990448479196,0.06372990448479196
application_Industrial,-0.06275253773643806,0.06275253773643806
application_Power Distribution (MV),-0.003462331021844853,0.003462331021844853
application_Telecommunications,-0.0019217104221264242,0.0019217104221264242
